Language	Lambda	Quantile	Samples
Belarusian	0.34	0.509090900421	55
Belarusian	0.36	0.509090900421	55
Belarusian	0.38	0.509090900421	55
Belarusian	0.4	0.527272701263	55
Belarusian	0.42	0.54545456171	55
Belarusian	0.44	0.54545456171	55
Belarusian	0.46	0.563636362553	55
Belarusian	0.48	0.581818163395	55
Belarusian	0.5	0.581818163395	55
Belarusian	0.52	0.581818163395	55
Belarusian	0.54	0.600000023842	55
Belarusian	0.56	0.618181824684	55
Belarusian	0.58	0.636363625526	55
Belarusian	0.6	0.654545426369	55
Belarusian	0.62	0.654545426369	55
Belarusian	0.64	0.654545426369	55
Belarusian	0.66	0.654545426369	55
Belarusian	0.68	0.654545426369	55
Belarusian	0.7	0.654545426369	55
Belarusian	0.72	0.654545426369	55
Belarusian	0.74	0.654545426369	55
Belarusian	0.76	0.636363625526	55
Belarusian	0.78	0.636363625526	55
Belarusian	0.8	0.654545426369	55
Belarusian	0.82	0.654545426369	55
Belarusian	0.84	0.654545426369	55
Belarusian	0.86	0.672727286816	55
Belarusian	0.88	0.672727286816	55
Belarusian	0.9	0.672727286816	55
Belarusian	0.92	0.672727286816	55
Belarusian	0.94	0.672727286816	55
Belarusian	0.96	0.672727286816	55
Belarusian	0.98	0.690909087658	55
Bulgarian	0.0	1.0	55
Bulgarian	0.02	1.0	55
Bulgarian	0.04	1.0	55
Bulgarian	0.06	1.0	55
Bulgarian	0.08	1.0	55
Bulgarian	0.1	1.0	55
Bulgarian	0.12	1.0	55
Bulgarian	0.14	1.0	55
Bulgarian	0.16	1.0	55
Bulgarian	0.18	1.0	55
Bulgarian	0.2	1.0	55
Bulgarian	0.22	1.0	55
Bulgarian	0.24	1.0	55
Bulgarian	0.26	1.0	55
Bulgarian	0.28	1.0	55
Bulgarian	0.3	1.0	55
Bulgarian	0.32	1.0	55
Bulgarian	0.34	1.0	55
Bulgarian	0.36	1.0	55
Bulgarian	0.38	1.0	55
Bulgarian	0.4	1.0	55
Bulgarian	0.42	1.0	55
Bulgarian	0.44	1.0	55
Bulgarian	0.46	1.0	55
Bulgarian	0.48	1.0	55
Bulgarian	0.5	1.0	55
Bulgarian	0.52	1.0	55
Bulgarian	0.54	1.0	55
Bulgarian	0.56	1.0	55
Bulgarian	0.58	1.0	55
Bulgarian	0.6	1.0	55
Bulgarian	0.62	1.0	55
Bulgarian	0.64	1.0	55
Bulgarian	0.66	1.0	55
Bulgarian	0.68	1.0	55
Bulgarian	0.7	1.0	55
Bulgarian	0.72	1.0	55
Bulgarian	0.74	1.0	55
Bulgarian	0.76	1.0	55
Bulgarian	0.78	1.0	55
Bulgarian	0.8	1.0	55
Bulgarian	0.82	1.0	55
