Language	Model	Type	Surp
Afrikaans	136446	manual_output_funchead_RANDOM3	6.868914130330729
Hindi	2716071	manual_output_funchead_RANDOM3	6.137462036835722
Vietnamese	5303385	manual_output_funchead_RANDOM3	7.761907188909044
Norwegian	1037368	manual_output_funchead_RANDOM3	7.059928020256008
Hungarian	6383912	manual_output_funchead_RANDOM3	8.66994073926235
Coptic	3293611	manual_output_funchead_RANDOM3	5.443416969471068
Croatian	6712232	manual_output_funchead_RANDOM3	8.19787088218059
Gothic	6427621	manual_output_funchead_RANDOM3	7.40134524484047
Japanese	5751771	manual_output_funchead_RANDOM3	6.620111986958879
Afrikaans	1246831	manual_output_funchead_RANDOM3	6.8776555834208
Danish	7291358	manual_output_funchead_RANDOM3	7.542131733864903
Greek	6704979	manual_output_funchead_RANDOM3	7.527923367189153
Polish	9427099	manual_output_funchead_RANDOM3	8.815295717592791
Hungarian	9992766	manual_output_funchead_RANDOM3	8.660387243871904
French	8031365	manual_output_funchead_RANDOM3	6.1420060283307105
Slovenian	4509168	manual_output_funchead_RANDOM3	7.915483774688743
Old_Church_Slavonic	3594067	manual_output_funchead_RANDOM3	7.084329777568505
Telugu	141661	manual_output_funchead_RANDOM3	8.164840213071953
Indonesian	638792	manual_output_funchead_RANDOM3	8.051251189135224
Serbian	9290417	manual_output_funchead_RANDOM3	7.982366076955668
Portuguese	149479	manual_output_funchead_RANDOM3	6.390443051826473
Portuguese	5166475	manual_output_funchead_RANDOM3	6.526155103916961
Korean	5850599	manual_output_funchead_RANDOM3	8.029825432205573
Japanese	2377309	manual_output_funchead_RANDOM3	6.661577694227
Ukrainian	5828195	manual_output_funchead_RANDOM3	9.281048509752054
Basque	8143440	manual_output_funchead_RANDOM3	8.632456608022126
Greek	7548604	manual_output_funchead_RANDOM3	7.5061356531249155
Afrikaans	3958396	manual_output_funchead_RANDOM3	6.862343314483951
German	118888	manual_output_funchead_RANDOM3	7.438741355447208
Irish	8020583	manual_output_funchead_RANDOM3	8.01163967717553
Belarusian	2443268	manual_output_funchead_RANDOM3	9.155196742506217
Hungarian	9219484	manual_output_funchead_RANDOM3	8.681470894916501
Chinese	7198884	manual_output_funchead_RANDOM3	8.033974844211826
Korean	5682688	manual_output_funchead_RANDOM3	8.028057555387331
