Language	FileName	ModelName	Counter	Model	Temperature	OriginalCounter	AverageLengthPerWord	AverageLengthPerSentence	OriginalLoss	Type
Chinese	7935729	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	3990	3673908	Infinity	100500	2.79946312378	56.7175438596	NA	manual_output_funchead_two_coarse_final
English	68174	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	17060	5095599	Infinity	103070	2.23722375691	32.281066823	NA	manual_output_funchead_two_coarse_final
Catalan	7844050	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	13120	6826872	Infinity	101700	2.94523436875	81.3241615854	NA	manual_output_funchead_two_coarse_final
Croatian	4709889	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7680	7819812	Infinity	250600	2.40887536525	44.1184895833	NA	manual_output_funchead_two_coarse_final
Hebrew	57593	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	5240	2207234	Infinity	100480	2.5289313788	56.7923664122	NA	manual_output_funchead_two_coarse_final
Tamil	6284706	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	400	8685300	Infinity	50080	2.7498100304	36.1875	NA	manual_output_funchead_two_coarse_final
Afrikaans	5586897	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1310	9413137	Infinity	50190	2.48547986246	55.7297709924	NA	manual_output_funchead_two_coarse_final
Greek	3992109	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	1660	2007991	Infinity	250400	3.55668999588	78.065060241	NA	manual_output_funchead_two_coarse_final
Spanish	2305500	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	28490	8350348	Infinity	253050	2.53820105188	62.6418041418	NA	manual_output_funchead_two_coarse_final
Spanish	6056267	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	28490	8788802	Infinity	103050	2.5133932	62.0292032292	NA	manual_output_funchead_two_coarse_final
Japanese	429657	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7160	5026715	Infinity	50510	2.42618864753	46.7664804469	NA	manual_output_funchead_two_coarse_final
Polish	1121481	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	6100	5498336	Infinity	101020	2.07698124622	15.7591803279	NA	manual_output_funchead_two_coarse_final
Latvian	4562926	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	4120	3633190	Infinity	100980	2.354056902	27.1116504854	NA	manual_output_funchead_two_coarse_final
Slovenian	7648444	computeDependencyLengthsByType_NEWPYTORCH_Deterministic_FuncHead_Coarse.py	7530	3475232	Infinity	251810	3.17374143205	41.7521912351	NA	manual_output_funchead_two_coarse_final
