Language	Model	Type	BigramCE
Czech	9862845	manual_output_funchead_RANDOM2	7.15922576791
Danish	1469568	manual_output_funchead_RANDOM	6.60160944217
Danish	1854531	manual_output_funchead_RANDOM	6.6507877284
Danish	1890789	manual_output_funchead_RANDOM2	6.63119839821
Danish	191246	manual_output_funchead_RANDOM2	6.62028581735
Danish	1933742	manual_output_funchead_RANDOM2	6.62372228211
Danish	2172427738	manual_output_funchead_two_coarse_parser_best_balanced	6.55249727419
Danish	2543795	manual_output_funchead_RANDOM	6.63798196868
Danish	2862952304	manual_output_funchead_langmod_coarse_best_balanced	6.53852645486
Danish	3243028224	manual_output_funchead_two_coarse_lambda09_best_large	6.53323651233
Danish	3697036	manual_output_funchead_RANDOM2	6.61898001709
Danish	3768280	manual_output_funchead_RANDOM2	6.59180498432
Danish	3909061	manual_output_funchead_RANDOM	6.61845570796
Danish	5107019	manual_output_funchead_RANDOM	6.61940805045
Danish	5492605	manual_output_funchead_RANDOM2	6.61134446238
Danish	5500305980	manual_output_funchead_two_coarse_lambda09_best_large	6.51865267992
Danish	5889850	manual_output_funchead_ground_coarse_final	6.52574394755
Danish	6028915	manual_output_funchead_RANDOM	6.5834706179
Danish	604444	manual_output_funchead_RANDOM	6.60386707549
Danish	636759	manual_output_funchead_RANDOM	6.64350314976
Danish	6765141	manual_output_funchead_RANDOM2	6.60609990089
Danish	7484055	manual_output_funchead_RANDOM2	6.61900788212
Danish	7656139	manual_output_funchead_RANDOM2	6.64097184315
Danish	8995213	manual_output_funchead_coarse_depl	6.52291149703
Danish	9047500	manual_output_funchead_RANDOM	6.6306141339
Danish	934401	manual_output_funchead_RANDOM2	6.63180253411
Danish	9636456	manual_output_funchead_RANDOM2	6.59063297991
Dutch	1560148	manual_output_funchead_RANDOM	6.26649321709
Dutch	158703	manual_output_funchead_RANDOM2	6.2046423538
Dutch	183327	manual_output_funchead_RANDOM2	6.20374684703
Dutch	1857467	manual_output_funchead_RANDOM2	6.19135887117
Dutch	1992455	manual_output_funchead_RANDOM	6.24175128273
Dutch	2117993	manual_output_funchead_RANDOM2	6.25041875721
Dutch	2188996	manual_output_funchead_RANDOM2	6.20868686521
Dutch	2257014	manual_output_funchead_RANDOM2	6.25121813732
Dutch	2695885	manual_output_funchead_RANDOM	6.24701095873
Dutch	2833843	manual_output_funchead_RANDOM2	6.24093300252
