Language	Model	Type	Surp	FullSurp
Indonesian	891385641	manual_output_funchead_two_coarse_lambda09_best_large	7.823282718204576	7.8233028225233365
Swedish	513851515	manual_output_funchead_two_coarse_lambda09_best_large	6.879013417861843	9.684861895152896
German	5722010187	manual_output_funchead_two_coarse_lambda09_best_large	7.10007917118764	9.187575019026713
Vietnamese	7984581955	manual_output_funchead_two_coarse_lambda09_best_large	7.673152770810445	9.687929432302438
Spanish	1083174828	manual_output_funchead_two_coarse_lambda09_best_large	6.111363165405199	7.037950930142632
German	136153380	manual_output_funchead_two_coarse_lambda09_best_large	7.056325699957883	9.060260783956545
Finnish	5335149485	manual_output_funchead_two_coarse_lambda09_best_large	7.993227844940027	10.72059027800151
Ancient_Greek	2121072826	manual_output_funchead_two_coarse_lambda09_best_large	7.2185445603133065	10.280775143120481
English	3260879064	manual_output_funchead_two_coarse_lambda09_best_large	6.548588987234323	8.792419338964255
Belarusian	7585077224	manual_output_funchead_two_coarse_lambda09_best_large	9.004245480501028	11.476190467164278
Hungarian	1963391511	manual_output_funchead_two_coarse_lambda09_best_large	8.636843846792198	8.636884923728116
Dutch	5944845713	manual_output_funchead_two_coarse_lambda09_best_large	6.735202413788596	9.241338299590897
Polish	960254315	manual_output_funchead_two_coarse_lambda09_best_large	8.236406765914	11.852885384751305
Ancient_Greek	3527231951	manual_output_funchead_two_coarse_lambda09_best_large	7.277849224690203	10.355285171849442
Croatian	1552783168	manual_output_funchead_two_coarse_lambda09_best_large	7.905332510394399	7.905353427163939
Telugu	312478308	manual_output_funchead_two_coarse_lambda09_best_large	7.858134423413323	9.526567331332604
Hungarian	469486279	manual_output_funchead_two_coarse_lambda09_best_large	8.592714238695459	8.59275094525343
Ancient_Greek	8085969138	manual_output_funchead_two_coarse_lambda09_best_large	7.337478982557513	10.523561178936635
Chinese	852200053	manual_output_funchead_two_coarse_lambda09_best_large	7.75376986984379	9.746246585548198
Catalan	5306277338	manual_output_funchead_two_coarse_lambda09_best_large	5.785197371750722	7.320407182569819
Turkish	8151228474	manual_output_funchead_two_coarse_lambda09_best_large	8.949365553498122	11.08781695107839
Slovak	884365404	manual_output_funchead_two_coarse_lambda09_best_large	9.010441860809971	13.251925305303356
Hindi	9408810693	manual_output_funchead_two_coarse_lambda09_best_large	5.692995319093718	7.317801292347249
Old_Church_Slavonic	326999304	manual_output_funchead_two_coarse_lambda09_best_large	6.759690257420315	8.612450675443739
Persian	4416525557	manual_output_funchead_two_coarse_lambda09_best_large	6.998942787234793	8.81981341114527
Telugu	1637264593	manual_output_funchead_two_coarse_lambda09_best_large	7.952225202716278	9.613933418511417
Spanish	4056691651	manual_output_funchead_two_coarse_lambda09_best_large	6.1122281139664265	7.0577082249573
Latin	1696082381	manual_output_funchead_two_coarse_lambda09_best_large	7.689666430123381	11.5732491053011
Turkish	6978544561	manual_output_funchead_two_coarse_lambda09_best_large	8.995176791969167	11.137517050095223
Czech	6418284628	manual_output_funchead_two_coarse_lambda09_best_large	6.909210761840058	10.563571709787912
Catalan	1962043850	manual_output_funchead_two_coarse_lambda09_best_large	5.884097002792704	7.367821803461202
Swedish	5945751659	manual_output_funchead_two_coarse_lambda09_best_large	6.812595563796634	9.573508832624134
Croatian	874619944	manual_output_funchead_two_coarse_lambda09_best_large	7.874202606340521	7.874216134477516
Danish	7575930030	manual_output_funchead_two_coarse_lambda09_best_large	7.160505838395236	7.160526287840769
Marathi	2865151624	manual_output_funchead_two_coarse_lambda09_best_large	7.19385675684177	7.193999423915615
Norwegian	9079249691	manual_output_funchead_two_coarse_lambda09_best_large	6.8297989692208585	6.829809819903136
Coptic	6862560490	manual_output_funchead_two_coarse_lambda09_best_large	5.164464675399409	6.896631866313629
Chinese	8105850052	manual_output_funchead_two_coarse_lambda09_best_large	7.81710547139822	9.82817989135686
Persian	6618935250	manual_output_funchead_two_coarse_lambda09_best_large	6.906279458978929	8.691287259944005
Latin	8298287341	manual_output_funchead_two_coarse_lambda09_best_large	7.631009697228667	11.438352940987594
Slovak	9383936989	manual_output_funchead_two_coarse_lambda09_best_large	8.925330341853352	13.078100778912088
Vietnamese	1505157260	manual_output_funchead_two_coarse_lambda09_best_large	7.603547400155755	9.659958230449572
Finnish	9752094430	manual_output_funchead_two_coarse_lambda09_best_large	7.885234027381964	10.517968644634026
Urdu	9026075601	manual_output_funchead_two_coarse_lambda09_best_large	6.052875448361299	7.70527665753293
Norwegian	6706419946	manual_output_funchead_two_coarse_lambda09_best_large	6.806924494032313	6.806933798840154
Hindi	1939270997	manual_output_funchead_two_coarse_lambda09_best_large	5.72134966821539	7.35297001071642
Finnish	2319061700	manual_output_funchead_two_coarse_lambda09_best_large	7.9373417886708655	10.626952748260807
Hebrew	5904258105	manual_output_funchead_two_coarse_lambda09_best_large	6.592212485637161	8.221352437956988
Danish	5500305980	manual_output_funchead_two_coarse_lambda09_best_large	7.110459357728807	7.110482697454586
Turkish	6739337824	manual_output_funchead_two_coarse_lambda09_best_large	8.958754384177741	11.158998203254145
German	3150957569	manual_output_funchead_two_coarse_lambda09_best_large	7.051542004159095	9.05904818659181
Danish	384412782	manual_output_funchead_two_coarse_lambda09_best_large	7.212416039218497	7.212439832519089
Japanese	7639076918	manual_output_funchead_two_coarse_lambda09_best_large	6.226148971502598	6.226173870838606
Turkish	7169910342	manual_output_funchead_two_coarse_lambda09_best_large	9.051404230282891	11.289482120738723
Korean	8034124534	manual_output_funchead_two_coarse_lambda09_best_large	7.661979956909441	11.577914847479992
Indonesian	3375856929	manual_output_funchead_two_coarse_lambda09_best_large	7.780649494034851	7.7806718141538935
Old_Church_Slavonic	6365184171	manual_output_funchead_two_coarse_lambda09_best_large	7.007904337037284	9.0083543097014
Finnish	8684997966	manual_output_funchead_two_coarse_lambda09_best_large	7.895946922886122	10.603393828559174
Tamil	770397392	manual_output_funchead_two_coarse_lambda09_best_large	9.131234627930125	12.902014068712703
English	1861401696	manual_output_funchead_two_coarse_lambda09_best_large	6.516683488371327	8.755267872070258
Vietnamese	3866869627	manual_output_funchead_two_coarse_lambda09_best_large	7.587347518644746	9.5707560949897
Gothic	2305067591	manual_output_funchead_two_coarse_lambda09_best_large	6.773810224920984	8.816204561364083
Danish	5914445670	manual_output_funchead_two_coarse_lambda09_best_large	7.17677637475877	7.176794294579034
Ancient_Greek	7121520514	manual_output_funchead_two_coarse_lambda09_best_large	7.292775524631351	10.458076220071302
Bulgarian	6688858397	manual_output_funchead_two_coarse_lambda09_best_large	7.193383917371274	10.365802057466027
Irish	5975979969	manual_output_funchead_two_coarse_lambda09_best_large	7.957721805690525	10.70120832533573
Ancient_Greek	2397321414	manual_output_funchead_two_coarse_lambda09_best_large	7.331697354970964	10.44117176442373
Galician	9888894181	manual_output_funchead_two_coarse_lambda09_best_large	6.158951729383039	8.835993347776503
Marathi	5658968522	manual_output_funchead_two_coarse_lambda09_best_large	7.373090871175131	7.373196970621745
Turkish	1347322337	manual_output_funchead_two_coarse_lambda09_best_large	9.201999184012442	11.405861494493708
Galician	845646266	manual_output_funchead_two_coarse_lambda09_best_large	6.1128728248276945	8.789435450443735
Basque	1933414271	manual_output_funchead_two_coarse_lambda09_best_large	8.28316118599659	8.283183745131572
Spanish	3508122133	manual_output_funchead_two_coarse_lambda09_best_large	6.015362617172029	6.933892469522352
Lithuanian	8318192640	manual_output_funchead_two_coarse_lambda09_best_large	9.212962717182187	11.80849532801248
Serbian	2847192468	manual_output_funchead_two_coarse_lambda09_best_large	7.701515228675644	7.701531802727379
Croatian	8046879825	manual_output_funchead_two_coarse_lambda09_best_large	7.844666046657463	7.8446819608623555
Persian	6820022821	manual_output_funchead_two_coarse_lambda09_best_large	6.958040003371131	8.748158067129216
Marathi	6443156255	manual_output_funchead_two_coarse_lambda09_best_large	7.500095971325722	7.50024817655079
Tamil	4192998455	manual_output_funchead_two_coarse_lambda09_best_large	9.05324371726867	12.912883533348124
Chinese	6268404438	manual_output_funchead_two_coarse_lambda09_best_large	7.7485930541767996	9.74438353154066
Czech	8051655506	manual_output_funchead_two_coarse_lambda09_best_large	7.045275398935791	10.630455779323226
Gothic	2985003243	manual_output_funchead_two_coarse_lambda09_best_large	6.886629931933353	8.848466827737854
Danish	8761703752	manual_output_funchead_two_coarse_lambda09_best_large	7.188637628875366	7.188661628840467
Spanish	1470278488	manual_output_funchead_two_coarse_lambda09_best_large	6.036264141391607	6.9575647575865815
French	8932085602	manual_output_funchead_two_coarse_lambda09_best_large	5.846574553441156	5.894431401312798
English	9322393111	manual_output_funchead_two_coarse_lambda09_best_large	6.556405342035781	8.790274726743432
Catalan	3553756992	manual_output_funchead_two_coarse_lambda09_best_large	5.97105720632002	7.527243062914625
Latin	9577508682	manual_output_funchead_two_coarse_lambda09_best_large	7.684574930341138	11.555463323085341
Estonian	6293982301	manual_output_funchead_two_coarse_lambda09_best_large	8.401278016749952	10.13295088492382
