Language	Model	Type	UAS	Pars
Ukrainian	802304132	manual_output_funchead_two_coarse_lambda09_best_large	0.750119274809	1.1399019948626292
Dutch	7775405388	manual_output_funchead_two_coarse_lambda09_best_large	0.850627615063	0.7005894149209384
Old_Church_Slavonic	4613178219	manual_output_funchead_two_coarse_lambda09_best_large	0.827623762376	0.9503795693416407
Arabic	7867074011	manual_output_funchead_two_coarse_lambda09_best_large	0.825765925799	0.8587909705601968
Italian	2159801813	manual_output_funchead_two_coarse_lambda09_best_large	0.869093231162	0.6140879047737191
Latvian	3363923869	manual_output_funchead_two_coarse_lambda09_best_large	0.718359411166	1.43308749621957
Irish	8231415483	manual_output_funchead_two_coarse_lambda09_best_large	0.607079449623	2.3497113663251805
Coptic	987166104	manual_output_funchead_two_coarse_lambda09_best_large	0.826636050517	0.9396379259505858
Spanish	8257404167	manual_output_funchead_two_coarse_lambda09_best_large	0.835662303533	0.7541451687694075
Persian	1653974778	manual_output_funchead_two_coarse_lambda09_best_large	0.816818684356	0.843929460689203
Korean	939764232	manual_output_funchead_two_coarse_lambda09_best_large	0.722628627164	1.6290454147821867
Hungarian	9381740066	manual_output_funchead_two_coarse_lambda09_best_large	0.758544652701	1.1664092031738689
Chinese	7446968920	manual_output_funchead_two_coarse_lambda09_best_large	0.743709825528	1.3154359091083536
Vietnamese	2356922538	manual_output_funchead_two_coarse_lambda09_best_large	0.689648180067	1.4233743788612718
Coptic	2516158782	manual_output_funchead_two_coarse_lambda09_best_large	0.774971297359	1.124625862944961
Polish	7337863333	manual_output_funchead_two_coarse_lambda09_best_large	0.858755090169	0.5787946431840694
Czech	7840121364	manual_output_funchead_two_coarse_lambda09_best_large	0.827766875141	0.7230671543563365
English	7030440871	manual_output_funchead_two_coarse_lambda09_best_large	0.855358316897	0.7311274701100057
Turkish	5867104423	manual_output_funchead_two_coarse_lambda09_best_large	0.553165485211	1.99687985973526
Irish	2176303463	manual_output_funchead_two_coarse_lambda09_best_large	0.517310252996	2.646911161558606
Basque	2881607944	manual_output_funchead_two_coarse_lambda09_best_large	0.746189330124	1.2101426776984203
Arabic	1713853144	manual_output_funchead_two_coarse_lambda09_best_large	0.800286787446	0.9472843943007823
Tamil	3390016856	manual_output_funchead_two_coarse_lambda09_best_large	0.643112701252	1.8869807447218512
Afrikaans	9243198915	manual_output_funchead_two_coarse_lambda09_best_large	0.853993344426	0.7237875384469199
Catalan	7875549067	manual_output_funchead_two_coarse_lambda09_best_large	0.862371457728	0.5794670357808923
Hindi	6446658008	manual_output_funchead_two_coarse_lambda09_best_large	0.849100264897	0.6124284431450376
English	677471935	manual_output_funchead_two_coarse_lambda09_best_large	0.852475598038	0.7173530121484573
Irish	4619624644	manual_output_funchead_two_coarse_lambda09_best_large	0.588437638704	2.378998097291905
Hungarian	835743013	manual_output_funchead_two_coarse_lambda09_best_large	0.71684875213	1.3606279962368955
Romanian	4657720667	manual_output_funchead_two_coarse_lambda09_best_large	0.794198802073	0.992185468283482
Irish	2938889752	manual_output_funchead_two_coarse_lambda09_best_large	0.497114957834	2.7221385121504253
Old_Church_Slavonic	6385418183	manual_output_funchead_two_coarse_lambda09_best_large	0.814356435644	1.0361418278264527
Serbian	2447068480	manual_output_funchead_two_coarse_lambda09_best_large	0.801473087819	0.9829222511637312
Hindi	4220078889	manual_output_funchead_two_coarse_lambda09_best_large	0.849678774777	0.6092970566304865
Dutch	2568301737	manual_output_funchead_two_coarse_lambda09_best_large	0.840428870293	0.7513145705583704
Arabic	6427878818	manual_output_funchead_two_coarse_lambda09_best_large	0.82147481514	0.886168678169984
Latvian	8390429393	manual_output_funchead_two_coarse_lambda09_best_large	0.658457550227	1.5818764681441289
Persian	4664293056	manual_output_funchead_two_coarse_lambda09_best_large	0.821171918187	0.8074611033307313
Russian	5457228368	manual_output_funchead_two_coarse_lambda09_best_large	0.816778612629	0.898804412037219
Portuguese	3972369	manual_output_funchead_two_coarse_lambda09_best_large	0.853004894488	0.6399249040948796
Hebrew	9351257043	manual_output_funchead_two_coarse_lambda09_best_large	0.826673277144	0.8972315916166367
Polish	3922432604	manual_output_funchead_two_coarse_lambda09_best_large	0.874461896451	0.5481784640529116
Finnish	4663177148	manual_output_funchead_two_coarse_lambda09_best_large	0.806072846775	0.916638703439622
Russian	2523823048	manual_output_funchead_two_coarse_lambda09_best_large	0.778422890103	1.0166962647880695
Catalan	7252745566	manual_output_funchead_two_coarse_lambda09_best_large	0.868945757124	0.5688962192700192
Portuguese	4188406256	manual_output_funchead_two_coarse_lambda09_best_large	0.884832437348	0.5636230734891299
Croatian	2692971735	manual_output_funchead_two_coarse_lambda09_best_large	0.781518458324	0.9731271824557367
Latin	5234583181	manual_output_funchead_two_coarse_lambda09_best_large	0.81019061338	1.1864533319149315
Arabic	861592665	manual_output_funchead_two_coarse_lambda09_best_large	0.817964879239	0.8676450548741554
Ancient_Greek	8333263371	manual_output_funchead_two_coarse_lambda09_best_large	0.803377671499	0.9928285778201298
Italian	9606114276	manual_output_funchead_two_coarse_lambda09_best_large	0.87601106854	0.5936787441157189
Chinese	343306077	manual_output_funchead_two_coarse_lambda09_best_large	0.760789715335	1.2503926354882036
Belarusian	3153103412	manual_output_funchead_two_coarse_lambda09_best_large	0.591051805338	2.065522848156221
